instrument_token,primary_interval_min,alttf_multiplier,effective_alttf_min,total_trades,winning_trades,losing_trades,win_rate_pct,total_pnl,gross_profit,gross_loss,average_pnl_per_trade,average_profit_per_winning_trade,average_loss_per_losing_trade,profit_factor,max_drawdown_absolute,max_drawdown_percentage,sharpe_ratio_per_trade,info
263433,1,60,60,715,489.0,222.0,68.3916083916084,17760.800000000047,20916.40000000003,3155.5999999999876,24.840279720279785,42.77382413087941,14.214414414414358,6.628343262770983,252.8000000000029,0.221107356017831,0.4461895816509183,
263689,1,60,60,801,553.0,247.0,69.03870162297129,9419.649999999998,11895.000000000004,2475.350000000006,11.759862671660422,21.509945750452086,10.021659919028364,4.8053810572242215,403.1000000000058,0.38302125953277855,0.3998422768858711,
263945,1,60,60,595,443.0,149.0,74.45378151260505,2939.0999999999976,3474.199999999997,535.0999999999992,4.939663865546215,7.842437923250558,3.5912751677852297,6.4926182022051995,47.44999999999709,0.04713897702955608,0.5532784021901788,
264457,1,60,60,1125,676.0,433.0,60.08888888888889,8490.350000000039,10917.25000000004,2426.9000000000015,7.546977777777812,16.149778106508936,5.604849884526562,4.498434216490186,161.39999999999418,0.1541172656694186,0.36747757508390644,
264713,1,60,60,0,,,,,,,,,,,,,,No completed trades found to calculate metrics.
264969,1,60,60,327,282.0,43.0,86.23853211009175,51.110000000000035,62.65000000000003,11.539999999999992,0.15629969418960254,0.22216312056737597,0.26837209302325565,5.428942807625656,3.3300000000017462,0.003328723101819888,0.5676721328328793,
265737,1,60,60,912,584.0,322.0,64.03508771929825,12873.599999999926,16521.699999999946,3648.100000000022,14.11578947368413,28.29058219178073,11.329503105590131,4.528850634576861,177.20000000001164,0.15938806496413918,0.3912190988730574,
265993,1,60,60,1076,652.0,420.0,60.594795539033456,40444.90000000017,55525.70000000011,15080.799999999941,37.58819702602246,85.16211656441735,35.906666666666524,3.6818802716036503,905.1999999999825,0.8034659454527058,0.2584310125811042,
266249,1,60,60,1050,632.0,410.0,60.1904761904762,9432.699999999972,13465.099999999968,4032.399999999996,8.983523809523783,21.305537974683492,9.835121951219502,3.3392272592004715,344.50000000001455,0.3346967326992534,0.2752319201455584,
266505,1,60,60,904,564.0,327.0,62.38938053097345,8792.700000000048,12483.000000000027,3690.2999999999793,9.726438053097398,22.132978723404303,11.285321100917368,3.38265181692548,313.20000000001164,0.29898048799115234,0.2812044355493492,
266761,1,60,60,847,533.0,310.0,62.92798110979929,5997.599999999988,7839.499999999993,1841.9000000000046,7.080991735537175,14.708255159474659,5.941612903225821,4.256202834030063,157.5500000000029,0.14864974515838952,0.22826730415578017,
267017,1,60,60,1087,647.0,438.0,59.521619135234594,11497.050000000012,16932.650000000023,5435.600000000011,10.576862925482992,26.171020092735738,12.410045662100483,3.1151390830819023,670.8000000000029,0.620965356742656,0.15416877531581574,
267273,1,60,60,1203,708.0,481.0,58.85286783042394,6850.149999999996,10959.899999999981,4109.749999999985,5.694222776392349,15.480084745762685,8.544178794178764,2.6668045501551236,724.8999999999942,0.6967241279054346,0.21354520512433836,
267529,1,60,60,1056,699.0,349.0,66.19318181818183,10382.900000000045,13384.600000000035,3001.69999999999,9.832291666666709,19.148211731044398,8.60085959885384,4.45900656294769,191.90000000000873,0.19162922790098463,0.3732556850682502,
267785,1,60,60,1110,726.0,374.0,65.4054054054054,5780.949999999998,7540.399999999992,1759.4499999999948,5.2080630630630615,10.386225895316795,4.704411764705869,4.285657449771244,293.3500000000058,0.2779422702487655,0.36537417842389247,
268041,1,60,60,1146,690.0,446.0,60.20942408376963,11463.500000000045,16223.30000000002,4759.799999999974,10.00305410122168,23.512028985507275,10.672197309416982,3.408399512584585,299.90000000000873,0.2813817070928163,0.3013374052824965,
268297,1,60,60,705,508.0,194.0,72.05673758865248,6216.550000000004,8091.5,1874.9499999999966,8.817801418439721,15.928149606299213,9.664690721649468,4.315581748846643,327.40000000000873,0.30880048366796187,0.4306567545730517,
268553,1,60,60,268,136.0,33.0,50.74626865671642,91.10000000000218,113.82000000000198,22.7199999999998,0.3399253731343365,0.8369117647058969,0.6884848484848424,5.0096830985916805,5.120000000009895,0.005117627979441424,0.31793984244834284,
268809,1,60,60,506,282.0,108.0,55.73122529644269,143.88000000000193,219.22000000000298,75.34000000000106,0.28434782608696035,0.7773758865248332,0.6975925925926023,2.909742500663657,11.210000000006403,0.011205052969120536,0.22994914678261572,
269065,1,60,60,457,297.0,68.0,64.98905908096279,264.8199999999988,340.43999999999915,75.62000000000035,0.5794748358862118,1.1462626262626234,1.1120588235294169,4.501983602221602,15.059999999997672,0.015019318673438795,0.34064574500299943,
269321,1,60,60,472,296.0,70.0,62.71186440677966,98.36000000000013,133.8400000000007,35.48000000000059,0.20838983050847484,0.4521621621621646,0.5068571428571512,3.772266065388909,7.620000000009895,0.007612170882257493,0.2952997758809418,
